766,2020-Overall,Massachusetts,Male,All,362308.0,244601.0,0.6751
767,2020-Overall,Michigan,Male,All,409495.0,189042.0,0.4616
768,2020-Overall,Minnesota,Male,All,196265.0,96299.0,0.4907
769,2020-Overall,Mississippi,Male,All,182090.0,72250.0,0.3968
770,2020-Overall,Missouri,Male,All,278954.0,93618.0,0.3356
771,2020-Overall,Montana,Male,All,73710.0,21288.0,0.2888
772,2020-Overall,Nebraska,Male,All,107347.0,28045.0,0.2613
773,2020-Overall,Nevada,Male,All,113767.0,47338.0,0.4161
774,2020-Overall,New Hampshire,Male,All,86276.0,45942.0,0.5325
775,2020-Overall,New Jersey,Male,All,388914.0,209082.0,0.5376
776,2020-Overall,New Mexico,Male,All,93616.0,47897.0,0.5116
777,2020-Overall,New York,Male,All,729596.0,377173.0,0.517
778,2020-Overall,North Carolina,Male,All,470579.0,189763.0,0.4033
779,2020-Overall,North Dakota,Male,All,42149.0,9917.0,0.2353
780,2020-Overall,Ohio,Male,All,485231.0,219086.0,0.4515
781,2020-Overall,Oklahoma,Male,All,210033.0,78908.0,0.3757
782,2020-Overall,Oregon,Male,All,165542.0,76941.0,0.4648
783,2020-Overall,Pennsylvania,Male,All,562226.0,276164.0,0.4912
784,2020-Overall,Rhode Island,Male,All,39240.0,25198.0,0.6422
785,2020-Overall,South Carolina,Male,All,290551.0,103689.0,0.3569
786,2020-Overall,South Dakota,Male,All,53420.0,16861.0,0.3156
787,2020-Overall,Tennessee,Male,All,299306.0,84963.0,0.2839
788,2020-Overall,Texas,Male,All,884244.0,424724.0,0.4803
789,2020-Overall,Utah,Male,All,91395.0,35204.0,0.3852
790,2020-Overall,Vermont,Male,All,49460.0,26133.0,0.5284
791,2020-Overall,Virginia,Male,All,425187.0,183968.0,0.4327
792,2020-Overall,Washington,Male,All,317499.0,128344.0,0.4042
793,2020-Overall,West Virginia,Male,All,106270.0,42602.0,0.4009
794,2020-Overall,Wisconsin,Male,All,241144.0,92023.0,0.3816
795,2020-Overall,Wyoming,Male,All,42287.0,11700.0,0.2767
796,2020-Overall,Alabama,All,All,458.0,249.0,0.5437
797,2020-Overall,Alaska,All,All,10257.0,5959.0,0.581
798,2020-Overall,Arizona,All,All,23710.0,14572.0,0.6146
799,2020-Overall,Arkansas,All,All,1364.0,617.0,0.4523
800,2020-Overall,California,All,All,11762.0,6783.0,0.5767
801,2020-Overall,Colorado,All,All,1300.0,633.0,0.4869
802,2020-Overall,Connecticut,All,All,279.0,201.0,0.7204
803,2020-Overall,Delaware,All,All,65.0,43.0,0.6615
804,2020-Overall,District Of Columbia,All,All,14.0,13329.5,0.1825
805,2020-Overall,Florida,All,All,1438.0,651.0,0.4527
806,2020-Overall,Georgia,All,All,442.0,198.0,0.448
807,2020-Overall,Hawaii,All,All,115.0,62.0,0.5391
808,2020-Overall,Idaho,All,All,1653.0,614.0,0.3714
809,2020-Overall,Illinois,All,All,524.0,273.0,0.521
810,2020-Overall,Indiana,All,All,342.0,184.0,0.538
811,2020-Overall,Iowa,All,All,495.0,203.0,0.4101
812,2020-Overall,Kansas,All,All,1880.0,690.0,0.367
813,2020-Overall,Kentucky,All,All,178.0,86.0,0.4831
814,2020-Overall,Louisiana,All,All,416.0,202.0,0.4856
815,2020-Overall,Maine,All,All,596.0,243.0,0.4077
816,2020-Overall,Maryland,All,All,375.0,225.0,0.6
817,2020-Overall,Massachusetts,All,All,504.0,343.0,0.6806
